item,date,price
FSLR:NASDAQ,2026-01-02,"50,339.48"
TSLA:NASDAQ,2026-01-02,"50,339.48"
JKS:NYSE,2026-01-02,"50,339.48"
ENPH:NASDAQ,2026-01-03,"50,339.48"
FSLR:NASDAQ,2026-01-03,"50,339.48"
JKS:NYSE,2026-01-03,"50,339.48"
TSLA:NASDAQ,2026-01-04,"50,339.48"
ENPH:NASDAQ,2026-01-04,"50,339.48"
ENPH:NASDAQ,2026-01-04,"50,339.48"
JKS:NYSE,2026-01-04,"50,339.48"
TSLA:NASDAQ,2026-01-04,"50,339.48"
ENPH:NASDAQ,2026-01-04,"50,339.48"
ENPH:NASDAQ,2026-01-04,"50,339.48"
JKS:NYSE,2026-01-04,"50,339.48"
ENPH:NASDAQ,2026-01-04,"50,339.48"
TSLA:NASDAQ,2026-01-04,"50,339.48"
ENPH:NASDAQ,2026-01-04,"50,339.48"
TSLA:NASDAQ,2026-01-04,"50,339.48"
JKS:NYSE,2026-01-04,"50,339.48"
ENPH:NASDAQ,2026-01-04,"50,339.48"
ENPH:NASDAQ,2026-01-04,"50,339.48"
ENPH:NASDAQ,2026-01-04,"50,339.48"
JKS:NYSE,2026-01-04,"50,339.48"
ENPH:NASDAQ,2026-01-04,"50,339.48"
JKS:NYSE,2026-01-04,"50,339.48"
JKS:NYSE,2026-01-04,"50,339.48"
FSLR:NASDAQ,2026-01-04,"50,339.48"
TSLA:NASDAQ,2026-01-04,"50,339.48"
ENPH:NASDAQ,2026-01-04,"50,339.48"
TSLA:NASDAQ,2026-01-04,"50,339.48"
TSLA:NASDAQ,2026-01-04,"50,339.48"
TSLA:NASDAQ,2026-01-04,"50,339.48"
ENPH:NASDAQ,2026-01-04,"50,339.48"
ENPH:NASDAQ,2026-01-04,"50,339.48"
JKS:NYSE,2026-01-04,"50,339.48"
TSLA:NASDAQ,2026-01-04,"50,339.48"
JKS:NYSE,2026-01-04,"50,339.48"
TSLA:NASDAQ,2026-01-04,"50,339.48"
JKS:NYSE,2026-01-04,"50,339.48"
TSLA:NASDAQ,2026-01-04,"50,339.48"
JKS:NYSE,2026-01-04,"50,339.48"
JKS:NYSE,2026-01-04,"50,339.48"
JKS:NYSE,2026-01-04,"50,339.48"
JKS:NYSE,2026-01-04,"50,339.48"
JKS:NYSE,2026-01-04,"50,339.48"
TSLA:NASDAQ,2026-01-04,"50,339.48"
TSLA:NASDAQ,2026-01-04,"50,339.48"
